#time,accel_x,accel_y,accel_z
283.763871,-12583.501014,-2664.741391,77069.207099
283.766434,35529.885216,18357.107362,65118.117330
283.768996,26351.331535,-72688.223504,62973.049936
283.771559,44264.315332,11547.212695,66803.527426
283.774122,-48409.468607,-20577.725188,83657.628382
283.776685,-55663.486838,15100.201217,93770.088955
283.779247,25018.960840,72096.058751,94689.403553
283.781810,104517.079010,94302.237011,75537.016103
283.784373,69431.317360,-39526.997303,66190.651027
283.786936,-41599.573940,-45448.644839,64811.679131
283.789499,-59512.557737,-51962.457128,72012.976812
283.792061,-62769.463882,-41007.409187,107253.369720
283.794624,-35974.008781,8290.306550,96374.813648
283.797187,59956.681302,8142.265362,75537.016103
283.799750,49149.674549,-16580.613101,56691.066852
283.802312,-52406.580694,-73724.511823,59142.572446
283.804875,-5625.565159,-31088.649564,66650.308326
283.807438,-7994.224174,-28868.031738,86415.572174
283.810001,-14952.160028,23242.466579,92237.897959
283.812563,9622.677246,104220.996634,93463.650756
283.815126,61881.216751,102296.461184,80593.246390
283.817689,105701.408518,-30052.361245,66497.089226
283.820252,12287.418637,-9770.718434,62513.392637
283.822815,-72984.305881,-14508.036463,79673.931792
283.825377,-80978.530055,-17172.777854,110930.628110
283.827940,3404.947333,42783.903448,101584.263035
283.830503,104665.120199,53590.910201,75383.797003
283.833066,55663.486838,-37306.379477,60521.544342
283.835628,-78905.953417,-59216.475360,64198.802732
283.838191,-46188.850781,-52998.745447,68335.718422
283.840754,20429.683999,-40119.162056,91012.145162
283.843317,-10658.965565,-6365.771101,91165.364262
283.845879,-28719.990550,84383.477388,88560.639569
283.848442,19689.478057,90749.248489,81665.780087
283.851005,39675.038491,-69431.317360,63739.145434
283.853568,50482.045244,21317.931130,66190.651027
283.856131,-58032.145853,-18949.272115,82891.532884
283.858695,-57736.063476,7698.141797,95915.156350
283.861260,28868.031738,66618.534780,96528.032748
283.863824,108810.273474,93710.072257,74770.920605
283.866388,63953.793389,-45300.603650,65884.212828
283.868953,-50037.921679,-51814.415940,63892.364533
283.871517,-61733.175563,-49445.756926,70480.785816
283.874082,18801.230927,-48261.427418,95915.156350
283.876646,-10214.842000,-45892.768404,88254.201370
283.879211,-46781.015534,1184.329507,75077.358804
283.881775,47817.303853,-9918.759623,57763.600549
283.884340,-43968.232955,-75056.882519,58989.353346
283.886904,-7402.059420,-26943.496289,67876.061123
283.889469,-19985.560434,-30496.484810,86875.229473
283.892033,-6513.812290,20577.725188,92084.678860
283.894598,20577.725188,107181.820402,92084.678860
283.897162,62325.340316,101408.214054,79214.274493
283.899727,102296.461184,-27979.784608,67263.184724
283.902291,8290.306550,-13915.871710,60827.982541
283.904856,-62769.463882,-35085.761651,75383.797003
283.907420,-21614.013506,-44708.438897,102810.015832
283.909985,-3849.070898,34641.638086,103116.454031
283.912549,96966.978402,48261.427418,74617.701505
283.915114,60844.928432,-36862.255912,59602.229744
283.917678,-74020.594200,-57439.981099,64198.802732
283.920243,-49297.715737,-53590.910201,69408.252119
283.922807,10807.006753,-41007.409187,91318.583362
283.925372,-1924.535449,0.000000,92391.117059
283.927936,-10510.924376,94746.360576,89326.735067
283.930501,20577.725188,94450.278199,79367.493593
283.933065,102740.584750,-29756.278868,68335.718422
283.935630,55515.445650,36566.173535,60827.982541
283.938194,-70615.646867,-21910.095883,76762.768900
283.940759,-57736.063476,19245.354492,97907.004644
283.943323,28423.908173,62473.381505,98826.319242
283.945888,104072.955445,91193.372054,74311.263306
283.948452,72096.058751,-47373.180288,64352.021832
283.951017,-38934.832549,-46632.974346,64198.802732
283.953581,-66322.452403,-52554.621882,71246.881314
283.956146,9918.759623,-49593.798114,96221.594549
283.958710,-10362.883188,-41451.532752,89173.515967
283.961276,-33901.432144,34197.514520,80746.465489
283.963841,18061.024985,52850.704259,70327.566716
283.966406,58032.145853,-56995.857534,63739.145434
283.968971,-9918.759623,-41303.491564,68642.156621
283.971537,-13767.830521,-38342.667796,87181.667672
283.974102,5181.441594,32717.102636,91165.364262
283.976667,24278.754898,106737.696836,91012.145162
283.979233,51518.333563,98743.472663,78754.617194
283.981798,99335.637416,-27535.661042,68335.718422
283.984363,17764.942608,296.082377,60521.544342
283.986928,-65878.328838,-31828.855506,76149.892501
283.989494,-32124.937883,-43524.109390,103422.892230
283.992059,-51518.333563,-34049.473332,94689.403553
283.994624,8734.430116,-296.082377,75537.016103
283.997190,48853.592172,2960.823768,60061.887043
283.999755,-65138.122896,-55663.486838,64811.679131
284.002320,-58920.392983,-56255.651592,70021.128517
284.004885,12731.542202,-50334.004056,92237.897959
284.007451,3552.988522,-3552.988522,89633.173266
284.010016,-13323.706956,83791.312634,88100.982270
284.012581,14656.077652,91045.330866,78294.959896
284.015147,88084.507098,-38934.832549,66803.527426
284.017712,60696.887244,41895.656317,61900.516238
284.020277,-67506.781910,-18653.189738,78141.740796
284.022842,-67950.905476,-17912.983796,110011.313513
284.025408,-31532.773129,12879.583391,101277.824836
284.027973,75204.923707,96966.978402,74617.701505
284.030538,82162.859562,-43820.191766,66037.431928
284.033104,-14656.077652,-38934.832549,62666.611736
284.035669,-64397.916954,-44116.274143,73391.948708
284.038234,-2220.617826,-50926.168810,99592.414740
284.040799,-25463.084405,-43968.232955,92850.774358
284.043365,-24130.713709,17320.819043,78907.836294
284.045930,33605.349767,34493.596897,65424.555529
284.048495,30792.567187,-58180.187041,62513.392637
284.051061,48705.550984,21169.889941,68642.156621
284.053626,-52998.745447,-26499.372724,83351.190182
284.056191,-56995.857534,26351.331535,99745.633840
284.058756,10658.965565,111475.014865,90858.926063
284.061322,34493.596897,101408.214054,80593.246390
284.063888,100816.049300,-26203.290347,68642.156621
284.066454,41303.491564,23834.631332,58682.915147
284.069020,-68098.946664,-24722.878463,77682.083497
284.071587,-52850.704259,-36122.049970,106334.055122
284.074153,-57291.939911,-14359.995275,96068.375449
284.076719,39971.120868,2960.823768,73545.167808
284.079285,60548.846056,-21910.095883,55924.971354
284.081851,-51370.292375,-59956.681302,61440.858940
284.084418,-19097.313304,-41007.409187,69867.909418
284.086984,-12731.542202,-50926.168810,95302.279951
284.089550,-7402.059420,-38934.832549,85955.914876
284.092116,-25759.166782,56699.775157,82585.094684
284.094682,20725.766376,65878.328838,72166.195912
284.097249,58476.269418,-55367.404462,65118.117330
284.099815,61881.216751,39526.997303,66650.308326
284.102381,-59512.557737,-20281.642811,80440.027290
284.104947,-73724.511823,9030.512492,110164.532612
284.107513,4441.235652,39082.873738,104955.083226
284.110080,99779.760982,63509.669824,75537.016103
284.112646,64545.958142,-46484.933158,63279.488135
284.115212,-59364.516548,-56847.816346,64198.802732
284.117778,-66914.617157,-32272.979071,75996.673402
284.120344,-27387.619854,-44116.274143,104035.768628
284.122911,-54627.198520,-37454.420665,94689.403553
284.125477,6069.688724,-1036.288319,75690.235202
284.128043,51370.292375,-1480.411884,58529.696047
284.130609,-26647.413912,-64249.875766,58682.915147
284.133176,6365.771101,-25611.125593,68642.156621
284.135742,-25759.166782,-33753.390955,85955.914876
284.138308,-3256.906145,40563.285622,88560.639569
284.140874,28719.990550,90305.124924,90552.487864
284.143440,73132.347070,100964.090489,75383.797003
284.146007,95634.607706,-33605.349767,66037.431928
284.148573,68098.946664,41747.615129,63279.488135
284.151139,-62473.381505,-21021.848753,77528.864398
284.153705,-76685.335591,-6217.729913,110317.751712
284.156271,-22058.137072,17468.860231,104342.206828
284.158838,84975.642142,37602.461854,73391.948708
284.161404,62177.299128,-46632.974346,59449.010645
284.163970,-63805.752200,-57143.898722,64045.583633
284.166536,-59956.681302,-55811.528027,71553.319513
284.169102,9474.636058,-48557.509795,91625.021561
284.171668,8734.430116,4145.153275,91625.021561
284.174234,-444.123565,104961.202576,89939.611465
284.176801,46781.015534,18801.230927,61900.516238
284.179367,-3404.947333,-60400.804867,61440.858940
284.181933,26203.290347,-7402.059420,69408.252119
284.184499,-36566.173535,-26943.496289,84423.723880
284.187065,-25611.125593,36714.214723,94076.527154
284.189631,29164.114115,71799.976374,94689.403553
284.192197,87048.218779,96670.896025,75230.577904
284.194763,88232.548286,-37010.297100,65424.555529
284.197329,-13323.706956,-38342.667796,61134.420740
284.199896,-70319.564490,-47077.097911,73698.386908
284.202462,-2812.782580,-51666.374752,100205.291138
284.205028,-29016.072926,-51518.333563,91625.021561
284.207594,63361.628635,16284.530724,72319.415011
284.210160,63657.711012,-39082.873738,56384.628653
284.212726,-64693.999331,-49741.839302,63126.269035
284.215292,-44116.274143,-61585.134374,71246.881314
284.217858,1924.535449,-46929.056723,90858.926063
284.220425,21169.889941,33013.185013,91931.459760
284.222991,19837.519246,114879.962198,90858.926063
284.225557,29904.320057,101704.296431,79214.274493
284.228123,89268.836605,-29460.196492,68488.937521
284.230689,59068.434172,34345.555709,60981.201641
284.233255,-63657.711012,-25018.960840,77375.645298
284.235821,-44856.480085,37158.338288,99898.852939
284.238387,21465.972318,52850.704259,99898.852939
284.240953,87936.465910,82903.065504,74004.825107
284.243520,81126.571243,-48557.509795,64811.679131
284.246086,-21910.095883,-46781.015534,62819.830836
284.248652,-72392.141128,-50037.921679,73391.948708
284.251218,3997.112087,-49001.633360,98060.223744
284.253784,-17320.819043,-53590.910201,87488.105872
284.256350,-17912.983796,45448.644839,79214.274493
284.258916,28868.031738,46781.015534,67263.184724
284.261482,19689.478057,-54627.198520,63432.707234
284.264048,47077.097911,13915.871710,68948.594820
284.266615,-6365.771101,-44116.274143,90399.268764
284.269181,27683.702231,37158.338288,91625.021561
284.271747,26499.372724,116804.497648,90705.706963
284.274313,38934.832549,104961.202576,79367.493593
284.276879,90009.042547,-31680.814318,67876.061123
284.279446,48113.386230,24130.713709,58529.696047
284.282012,-64397.916954,-22946.384202,78141.740796
284.284578,-54035.033766,-32717.102636,106487.274222
284.287144,-70023.482113,-29756.278868,94842.622652
284.289711,37750.503042,4589.276840,72932.291410
284.292277,67506.781910,-29756.278868,55158.875856
284.294843,-58180.187041,-50926.168810,63739.145434
284.297409,-70467.605678,-48409.468607,72625.853210
284.299975,6365.771101,-53738.951389,97140.909146
284.302542,-17320.819043,-47669.262665,85802.695776
284.305108,-15100.201217,61881.216751,79214.274493
284.307674,27535.661042,56551.733969,69101.813920
284.310240,25611.125593,-46632.974346,65577.774629
284.312806,48557.509795,25315.043216,70174.347617
284.315373,-50334.004056,-24426.796086,81359.341888
284.317939,-60400.804867,33753.390955,107406.588820
284.320505,16432.571912,45300.603650,104035.768628
284.323071,92229.660373,74168.635388,75230.577904
284.325637,94894.401764,-31976.896694,68182.499322
284.328204,43079.985824,18505.148550,58682.915147
284.330770,-62325.340316,-23686.590144,77682.083497
284.333336,-49889.880491,-35974.008781,105721.178724
284.335902,-71207.811620,-31384.731941,95455.499051
284.338469,39082.873738,2220.617826,73545.167808
284.341035,64990.081708,-31236.690752,55312.094956
284.343601,-61585.134374,-53294.827824,60827.982541
284.346167,-36122.049970,-46336.891969,71706.538613
284.348733,-10510.924376,-45744.727216,90858.926063
284.351300,28868.031738,41599.573940,91471.802461
284.353866,29460.196492,120653.568546,78754.617194
284.356432,28719.990550,56847.816346,68642.156621
284.358998,27091.537477,-48113.386230,64964.898230
284.361564,42191.738694,22502.260637,70174.347617
284.364131,-51074.209998,-22946.384202,82738.313784
284.366697,-50037.921679,29164.114115,108632.341616
284.369263,17468.860231,42931.944636,102810.015832
284.371829,85715.848084,76389.253214,74004.825107
284.374394,74760.800142,-54479.157331,63892.364533
284.376960,-23834.631332,-52998.745447,63126.269035
284.379526,-68246.987852,-46040.809592,72932.291410
284.382091,5329.482782,-58032.145853,96374.813648
284.384657,-68839.152606,-34197.514520,94382.965354
284.387222,34937.720462,3997.112087,73851.606007
284.389788,63805.752200,-31828.855506,54852.437657
284.392354,-57143.898722,-51222.251186,60674.763442
